split,label,count
train,emotion,248668
train,family,74169
train,high_risk,14476
train,interpersonal,106403
train,other,548200
train,relationship,42607
train,self_growth,78305
train,sleep_body,14484
train,study_work,82479
val,emotion,31264
val,family,9231
val,high_risk,1755
val,interpersonal,13395
val,other,68814
val,relationship,5359
val,self_growth,9751
val,sleep_body,1856
val,study_work,10187
test,emotion,31056
test,family,9346
test,high_risk,1831
test,interpersonal,13369
test,other,68370
test,relationship,5247
test,self_growth,9621
test,sleep_body,1830
test,study_work,10294
